liczbaPodzialow,funkcja,bladTrapezow,bladSimpsona,bladCSI
941,3,3.2341778055666737E-7,5.773159728050814E-15,3.23417314262997E-7
951,1,5.500858636375838E-7,2.2648549702353193E-14,5.500852617856822E-7
951,2,1.550696726582146E-8,2.220446049250313E-16,1.550695200025487E-8
951,3,3.1665190958207745E-7,3.9968028886505635E-15,3.1665152144810804E-7
961,1,5.386972302678927E-7,2.3092638912203256E-14,5.386966296372364E-7
961,2,1.518592079863268E-8,1.942890293094024E-16,1.5185902896286407E-8
961,3,3.1009614787080864E-7,2.220446049250313E-15,3.100958703150525E-7
971,1,5.276586437785724E-7,2.0872192862952943E-14,5.276580876678594E-7
971,2,1.4874741521841983E-8,1.6653345369377348E-16,1.48747253403414E-8
971,3,3.0374188453308193E-7,1.3322676295501878E-14,3.0374157455881345E-7
981,1,5.169559046391825E-7,2.0872192862952943E-14,5.169553553008299E-7
981,2,1.4573031087428134E-8,1.3877787807814457E-16,1.4573013296104165E-8
981,3,2.975809452188116E-7,6.661338147750
