liczbaPodzialow,funkcja,bladTrapezow,bladSimpsona,bladCSI
1131,2,2.9947865687329767E-8,4.996003610813204E-16,2.994783460108508E-8
1131,3,1.810143748781634E-8,4.524158825347513E-15,1.8101423276961626E-8
1141,1,1.1971209959854567E-6,3.5464686742869844E-13,1.1971200593319242E-6
1141,2,2.9425225089863005E-8,6.661338147750939E-16,2.9425190450904637E-8
1141,3,1.778553695985785E-8,3.885780586188048E-15,1.77855132288407E-8
1151,1,1.1764099261263317E-6,3.433642259409453E-13,1.1764090379895453E-6
1151,2,2.8916148253621543E-8,2.220446049250313E-16,2.8916144312329806E-8
1151,3,1.7477834984847007E-8,3.524958103184872E-15,1.7477833541557075E-8
1161,1,1.1562317191599059E-6,3.320538288775765E-13,1.1562308351031891E-6
1161,2,2.8420168218801223E-8,5.551115123125783E-17,2.842016760817856E-8
1161,3,1.7178048872246166E-8,3.4416913763379853E-15,1.717804232193032E-8
1171,1,1.1365682515557252E-6,3.198413756066998E-13,1.1365674377483703E-6
1171,2,2.7936841340281404E-8,5.551115123125783E-17,2.7936827795560504E-8
1171,3,1.688590986481664E-8,3.497202527569243E-15,1.6885896264584588E-8
1181,1,1.1174021597448736E-6,3.0955793484110927E-13,1.117401353695202E-6
1181,2,2.7465739071974582E-8,2.220446049250313E-16,2.7465710317198244E-8
1181,3,1.6601161390017438E-8,2.55351295663786E-15,1.6601148317141323E-8
1191,1,1.0987168137382985E-6,3.0044022825137517E-13,1.0987159962116966E-6
1191,2,2.7006453684474963E-8,1.0547118733938987E-15,2.700645895803433E-8
1191,3,1.6323554452579714E-8,3.3029134982598407E-15,1.6323552620711723E-8
